year,stage,origin,destination,origin_lat,origin_lon,destination_lat,destination_lon,winner,name,name_full,nationality,stage_wins,time_margin,time_overall
2016,1,Mont Saint-Michel,Utah Beach,48.636063,-1.511457,49.4230363,-1.1818896, Cavendish,Chris Froome,Winner: Chris Froome (Great Britain), Great Britain,Stage Wins: 2,Winning Margin: 0.07 hours,Overall Time: 89.08 hours
2016,2,Saint-Lô,Cherbourg-en-Cotentin,49.1154686,-1.0828136,49.6338979,-1.622224, Sagan,Chris Froome,Winner: Chris Froome (Great Britain), Great Britain,Stage Wins: 2,Winning Margin: 0.07 hours,Overall Time: 89.08 hours
2016,3,Granville,Angers,48.837579,-1.597302,47.47116159999999,-0.5518257, Cavendish,Chris Froome,Winner: Chris Froome (Great Britain), Great Britain,Stage Wins: 2,Winning Margin: 0.07 hours,Overall Time: 89.08 hours
2016,4,Saumur,Limoges,47.260135,-0.08089299999999999,45.83361900000001,1.261105, Kittel,Chris Froome,Winner: Chris Froome (Great Britain), Great Britain,Stage Wins: 2,Winning Margin: 0.07 hours,Overall Time: 89.08 hours
2016,5,Limoges,Le Lioran,45.83361900000001,1.261105,45.0827278,2.7503595, Van Avermaet,Chris Froome,Winner: Chris Froome (Great Britain), Great Britain,Stage Wins: 2,Winning Margin: 0.07 hours,Overall Time: 89.08 hours
2016,6,Arpajon-sur-Cère,Montauban,44.901275,2.4582799,44.0221252,1.3529599, Cavendish,Chris Froome,Winner: Chris Froome (Great Britain), Great Britain,Stage Wins: 2,Winning Margin: 0.07 hours,Overall Time: 89.08 hours
2016,7,L'Isle-Jourdain,Lac de Payolle,43.6138369,1.081741,42.934444,0.297222, Cummings,Chris Froome,Winner: Chris Froome (Great Britain), Great Britain,Stage Wins: 2,Winning Margin: 0.07 hours,Overall Time: 89.08 hours
2016,8,Pau,Bagnères-de-Luchon,43.2951,-0.370797,42.788963,0.592943, Froome,Chris Froome,Winner: Chris Froome (Great Britain), Great Britain,Stage Wins: 2,Winning Margin: 0.07 hours,Overall Time: 89.08 hours
2016,9,Vielha Val d'Aran,Andorra-Arcalis,42.7245643,0.7722973999999999,42.6313635,1.4992993, Dumoulin,Chris Froome,Winner: Chris Froome (Great Britain), Great Britain,Stage Wins: 2,Winning Margin: 0.07 hours,Overall Time: 89.08 hours
2016,10,Escaldes-Engordany,Revel,42.4909379,1.5886966,43.458611,2.004573, Matthews,Chris Froome,Winner: Chris Froome (Great Britain), Great Britain,Stage Wins: 2,Winning Margin: 0.07 hours,Overall Time: 89.08 hours
2016,11,Carcassonne,Montpellier,43.2132151,2.3517703,43.610769,3.876716, Sagan,Chris Froome,Winner: Chris Froome (Great Britain), Great Britain,Stage Wins: 2,Winning Margin: 0.07 hours,Overall Time: 89.08 hours
2016,12,Montpellier,Chalet Reynard,43.610769,3.876716,44.1523991,5.3189936, De Gendt,Chris Froome,Winner: Chris Froome (Great Britain), Great Britain,Stage Wins: 2,Winning Margin: 0.07 hours,Overall Time: 89.08 hours
2016,13,Bourg-Saint-Andéol,La Caverne du Pont-d'Arc,44.3691869,4.647069,44.4060609,4.4313855, Dumoulin,Chris Froome,Winner: Chris Froome (Great Britain), Great Britain,Stage Wins: 2,Winning Margin: 0.07 hours,Overall Time: 89.08 hours
2016,14,Montélimar,Villars-les-Dombes,44.556944,4.749496,46.002114,5.029107, Cavendish,Chris Froome,Winner: Chris Froome (Great Britain), Great Britain,Stage Wins: 2,Winning Margin: 0.07 hours,Overall Time: 89.08 hours
2016,15,Bourg-en-Bresse,Culoz,46.20516749999999,5.2255007000000004,45.8476209,5.781229, Pantano,Chris Froome,Winner: Chris Froome (Great Britain), Great Britain,Stage Wins: 2,Winning Margin: 0.07 hours,Overall Time: 89.08 hours
2016,16,Moirans-en-Montagne,Bern,46.4308989,5.723853999999999,46.9479739,7.4474468, Sagan,Chris Froome,Winner: Chris Froome (Great Britain), Great Britain,Stage Wins: 2,Winning Margin: 0.07 hours,Overall Time: 89.08 hours
2016,17,Bern,Finhaut-Émosson,46.9479739,7.4474468,46.0831928,6.914189299999999, Zakarin,Chris Froome,Winner: Chris Froome (Great Britain), Great Britain,Stage Wins: 2,Winning Margin: 0.07 hours,Overall Time: 89.08 hours
2016,18,Sallanches,Megève,45.936661,6.630556899999999,45.856876,6.61775, Froome,Chris Froome,Winner: Chris Froome (Great Britain), Great Britain,Stage Wins: 2,Winning Margin: 0.07 hours,Overall Time: 89.08 hours
